title,price,in_stock,rating,id
A Light in the Attic,51.77,True,3,21
Tipping the Velvet,53.74,True,1,22
Soumission,50.1,True,1,23
Sharp Objects,47.82,True,4,24
Sapiens: A Brief History of Humankind,54.23,True,5,25
The Requiem Red,22.65,True,1,26
The Dirty Little Secrets of Getting Your Dream Job,33.34,True,4,27
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,True,3,28
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,True,4,29
The Black Maria,52.15,True,1,30
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,True,2,31
Shakespeare's Sonnets,20.66,True,4,32
Set Me Free,17.46,True,5,33
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,True,5,34
Rip it Up and Start Again,35.02,True,5,35
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,True,3,36
Olio,23.88,True,1,37
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,True,1,38
Libertarianism for Beginners,51.33,True,2,39
It's Only the Himalayas,45.17,True,2,40
